DATE,ATNHPIUS42644Q
1975-07-01,20.81
1975-10-01,20.07
1976-01-01,21.81
1976-04-01,22.41
1976-07-01,23.92
1976-10-01,24.35
1977-01-01,25.42
1977-04-01,26.81
1977-07-01,28.7
1977-10-01,30.9
1978-01-01,32.55
1978-04-01,35.65
1978-07-01,37.8
1978-10-01,39.33
1979-01-01,40
1979-04-01,42.27
1979-07-01,43.37
1979-10-01,45.15
1980-01-01,46.4
1980-04-01,46.02
1980-07-01,47.74
1980-10-01,47.12
1981-01-01,45.09
1981-04-01,48.16
1981-07-01,48.95
1981-10-01,48.81
1982-01-01,38.72
1982-04-01,44.83
1982-07-01,43.7
1982-10-01,48.32
1983-01-01,48.34
1983-04-01,48.27
1983-07-01,48.61
1983-10-01,49.38
1984-01-01,49.54
1984-04-01,50.07
1984-07-01,50.64
1984-10-01,51.21
1985-01-01,51.62
1985-04-01,51.88
1985-07-01,52.4
1985-10-01,52.67
1986-01-01,53.11
1986-04-01,53.38
1986-07-01,54.08
1986-10-01,54.74
1987-01-01,55.58
1987-04-01,56.2
1987-07-01,56.99
1987-10-01,57.57
1988-01-01,58.9
1988-04-01,59.97
1988-07-01,61.33
1988-10-01,62.42
1989-01-01,64.87
1989-04-01,68.44
1989-07-01,71.87
1989-10-01,76.9
1990-01-01,84.07
1990-04-01,90.75
1990-07-01,92.44
1990-10-01,91.51
1991-01-01,91.87
1991-04-01,92.26
1991-07-01,92.39
1991-10-01,93.55
1992-01-01,93.56
1992-04-01,94.05
1992-07-01,94.87
1992-10-01,95.23
1993-01-01,95.31
1993-04-01,95.81
1993-07-01,96.51
1993-10-01,97.22
1994-01-01,98.16
1994-04-01,99.2
1994-07-01,99.23
1994-10-01,98.89
1995-01-01,100.00
1995-04-01,100.95
1995-07-01,101.98
1995-10-01,102.78
1996-01-01,103.66
1996-04-01,104.39
1996-07-01,105.02
1996-10-01,105.76
1997-01-01,107.42
1997-04-01,110
1997-07-01,112.48
1997-10-01,114.56
1998-01-01,117.23
1998-04-01,120.43
1998-07-01,123.59
1998-10-01,125.07
1999-01-01,127.15
1999-04-01,130.95
1999-07-01,134.3
1999-10-01,135.64
2000-01-01,139.73
2000-04-01,141.88
2000-07-01,143.92
2000-10-01,145.95
2001-01-01,149.29
2001-04-01,151.83
2001-07-01,153.82
2001-10-01,154.58
2002-01-01,156.53
2002-04-01,159.13
2002-07-01,160.9
2002-10-01,161.88
2003-01-01,163.34
2003-04-01,164.73
2003-07-01,166.59
2003-10-01,170.86
2004-01-01,173.08
2004-04-01,178.11
2004-07-01,185.36
2004-10-01,189.17
2005-01-01,195.27
2005-04-01,205.25
2005-07-01,213.49
2005-10-01,222.1
2006-01-01,230.77
2006-04-01,240.34
2006-07-01,248.02
2006-10-01,252.89
2007-01-01,258.45
2007-04-01,262.81
2007-07-01,263.76
2007-10-01,263.98
2008-01-01,262.23
2008-04-01,256.36
2008-07-01,248.03
2008-10-01,243.3
2009-01-01,240.36
2009-04-01,228.54
2009-07-01,220.66
2009-10-01,217.45
2010-01-01,213.87
2010-04-01,211.52
2010-07-01,210.98
2010-10-01,206.99
2011-01-01,199.79
2011-04-01,195.05
2011-07-01,195.85
2011-10-01,195.79
2012-01-01,193.07
2012-04-01,192.38
2012-07-01,196.61
2012-10-01,200
2013-01-01,202.22
2013-04-01,208.63
2013-07-01,215.75
2013-10-01,219.16
2014-01-01,222.26
2014-04-01,229.63
2014-07-01,235.17
2014-10-01,236.91
2015-01-01,240.22
2015-04-01,249.63
2015-07-01,257.64
2015-10-01,261.91
2016-01-01,269.13
2016-04-01,280.1
2016-07-01,288.71
2016-10-01,293.17
2017-01-01,301.04
2017-04-01,316.08
2017-07-01,325.34
2017-10-01,330.75
2018-01-01,339.66
2018-04-01,352.01
2018-07-01,352.99
2018-10-01,350.15
2019-01-01,352.75
2019-04-01,357.82
2019-07-01,360.49
2019-10-01,362.74
2020-01-01,368.31
2020-04-01,373.06
2020-07-01,380.18
2020-10-01,388.55
2021-01-01,397.78
2021-04-01,428.2
2021-07-01,449.83
2021-10-01,463.43
2022-01-01,487.71
2022-04-01,525.52
2022-07-01,509.36
2022-10-01,491.74
2023-01-01,493.7
2023-04-01,508.11
2023-07-01,513.36
2023-10-01,504.47
2024-01-01,521.5
