Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"New York, NY",May-15,$565K,,,"2,533",,,"4,631",,,"21,525",,,124,,,97.20%,,
"New York, NY",Jun-15,$575K,1.80%,,"2,993",18.20%,,"4,502",-2.80%,,"21,497",-0.10%,,119,-5,,97.40%,0.20%,
"New York, NY",Jul-15,$600K,4.30%,,"3,003",0.30%,,"4,024",-10.60%,,"21,281",-1.00%,,112,-7,,97.30%,-0.20%,
"New York, NY",Aug-15,$585K,-2.50%,,"3,020",0.60%,,"3,594",-10.70%,,"20,924",-1.70%,,108,-4,,97.60%,0.40%,
"New York, NY",Sep-15,$575K,-1.70%,,"2,920",-3.30%,,"4,611",28.30%,,"21,403",2.30%,,111,3,,97.40%,-0.20%,
"New York, NY",Oct-15,$560K,-2.60%,,"2,899",-0.70%,,"4,310",-6.50%,,"21,582",0.80%,,113,2,,97.10%,-0.30%,
"New York, NY",Nov-15,$560K,0.00%,,"2,482",-14.40%,,"3,130",-27.40%,,"21,208",-1.70%,,111,-2,,96.90%,-0.30%,
"New York, NY",Dec-15,$575K,2.70%,,"3,026",21.90%,,"2,120",-32.30%,,"19,554",-7.80%,,111,0,,96.90%,0.10%,
"New York, NY",Jan-16,$605K,5.20%,,"2,471",-18.30%,,"3,534",66.70%,,"19,534",-0.10%,,119,8,,97.10%,0.20%,
"New York, NY",Feb-16,$578K,-4.50%,,"2,526",2.20%,,"3,839",8.60%,,"19,956",2.20%,,125,6,,97.00%,-0.10%,
"New York, NY",Mar-16,$600K,3.90%,,"2,657",5.20%,,"5,072",32.10%,,"20,912",4.80%,,140,15,,96.80%,-0.20%,
"New York, NY",Apr-16,$601K,0.20%,,"2,330",-12.30%,,"5,013",-1.20%,,"21,729",3.90%,,130,-10,,97.20%,0.40%,
"New York, NY",May-16,$646K,7.40%,14.20%,"2,610",12.00%,3.00%,"4,632",-7.60%,0.00%,"22,085",1.60%,2.60%,123,-7,-1,97.20%,0.10%,0.10%
"New York, NY",Jun-16,$630K,-2.40%,9.60%,"2,999",14.90%,0.20%,"4,302",-7.10%,-4.40%,"21,943",-0.60%,2.10%,115,-8,-4,97.20%,0.00%,-0.20%
"New York, NY",Jul-16,$644K,2.20%,7.30%,"2,723",-9.20%,-9.30%,"3,645",-15.30%,-9.40%,"21,621",-1.50%,1.60%,112,-3,0,97.60%,0.40%,0.40%
"New York, NY",Aug-16,$620K,-3.70%,6.00%,"3,278",20.40%,8.50%,"3,464",-5.00%,-3.60%,"20,871",-3.50%,-0.30%,110,-2,2,97.30%,-0.30%,-0.30%
"New York, NY",Sep-16,$620K,0.00%,7.80%,"3,023",-7.80%,3.50%,"4,597",32.70%,-0.30%,"21,241",1.80%,-0.80%,110,0,-1,97.50%,0.20%,0.10%
"New York, NY",Oct-16,$630K,1.60%,12.50%,"2,727",-9.80%,-5.90%,"3,734",-18.80%,-13.40%,"20,793",-2.10%,-3.70%,118,8,5,97.30%,-0.10%,0.20%
"New York, NY",Nov-16,$630K,0.00%,12.50%,"2,688",-1.40%,8.30%,"3,150",-15.60%,0.60%,"20,284",-2.40%,-4.40%,114,-4,3,97.40%,0.10%,0.50%
"New York, NY",Dec-16,$630K,0.00%,9.60%,"3,016",12.20%,-0.30%,"2,160",-31.40%,1.90%,"18,842",-7.10%,-3.60%,112,-2,1,97.30%,-0.10%,0.40%
"New York, NY",Jan-17,$665K,5.60%,9.90%,"2,799",-7.20%,13.30%,"3,600",66.70%,1.90%,"18,730",-0.60%,-4.10%,122,10,3,97.50%,0.20%,0.40%
