Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"San Francisco County, CA",Jan-12,$650K,0.00%,2.40%,293,-34.20%,-11.20%,512,152.20%,-23.60%,868,11.90%,-38.10%,57,22,2,98.60%,-1.00%,0.40%
"San Francisco County, CA",Feb-12,$660K,1.50%,11.40%,386,31.70%,21.40%,543,6.10%,-16.70%,895,3.10%,-39.20%,41,-16,-22,99.90%,1.20%,1.60%
"San Francisco County, CA",Mar-12,$693K,5.00%,1.60%,492,27.50%,-3.30%,650,19.70%,-14.70%,880,-1.70%,-43.60%,20,-21,-8,101.10%,1.20%,2.20%
"San Francisco County, CA",Apr-12,$753K,8.70%,8.00%,530,7.70%,14.00%,621,-4.50%,-16.80%,925,5.10%,-44.10%,18,-2,-11,102.00%,1.00%,2.90%
"San Francisco County, CA",May-12,$735K,-2.50%,2.70%,544,2.60%,6.50%,638,2.70%,-1.70%,865,-6.50%,-45.80%,17,-1,-10,103.30%,1.20%,4.40%
"San Francisco County, CA",Jun-12,$760K,3.50%,7.80%,615,13.10%,13.50%,594,-6.90%,-17.30%,832,-3.80%,-47.90%,17,0,-12,103.10%,-0.20%,3.80%
"San Francisco County, CA",Jul-12,$750K,-1.30%,8.70%,501,-18.50%,4.40%,535,-9.90%,-2.00%,741,-10.90%,-44.50%,17,0,-12,103.40%,0.30%,4.40%
"San Francisco County, CA",Aug-12,$738K,-1.60%,8.70%,597,19.20%,33.60%,548,2.40%,1.50%,724,-2.30%,-41.70%,18,1,-18,103.50%,0.10%,4.20%
"San Francisco County, CA",Sep-12,$770K,4.30%,23.20%,417,-30.20%,-2.80%,789,44.00%,-5.70%,915,26.40%,-39.40%,16,-2,-15,104.60%,1.20%,5.30%
"San Francisco County, CA",Oct-12,$820K,6.50%,17.70%,548,31.40%,32.40%,612,-22.40%,13.30%,839,-8.30%,-40.30%,15,-1,-8,104.50%,-0.10%,5.20%
"San Francisco County, CA",Nov-12,$810K,-1.20%,17.10%,553,0.90%,20.50%,407,-33.50%,48.00%,693,-17.40%,-36.20%,17,2,-9,104.70%,0.20%,5.10%
"San Francisco County, CA",Dec-12,$810K,0.00%,24.60%,481,-13.00%,8.10%,174,-57.20%,-14.30%,420,-39.40%,-45.90%,21,4,-14,102.90%,-1.80%,3.20%
"San Francisco County, CA",Jan-13,$760K,-6.20%,16.80%,334,-30.60%,14.00%,457,162.60%,-10.70%,473,12.60%,-45.50%,22,1,-35,103.30%,0.50%,4.70%
"San Francisco County, CA",Feb-13,$820K,7.90%,24.20%,338,1.20%,-12.40%,510,11.60%,-6.10%,520,9.90%,-41.90%,15,-7,-26,105.30%,2.00%,5.50%
"San Francisco County, CA",Mar-13,$885K,8.00%,27.70%,508,50.30%,3.30%,622,22.00%,-4.30%,560,7.70%,-36.40%,14,-1,-6,107.00%,1.70%,5.90%
"San Francisco County, CA",Apr-13,$915K,3.40%,21.50%,543,6.90%,2.50%,698,12.20%,12.40%,608,8.60%,-34.30%,13,-1,-5,108.10%,1.20%,6.10%
"San Francisco County, CA",May-13,$900K,-1.60%,22.50%,635,16.90%,16.70%,767,9.90%,20.20%,686,12.80%,-20.70%,14,1,-3,108.20%,0.10%,4.90%
"San Francisco County, CA",Jun-13,$875K,-2.80%,15.10%,559,-12.00%,-9.10%,639,-16.70%,7.60%,682,-0.60%,-18.00%,14,0,-3,109.30%,1.10%,6.20%
